"243_120426"	"429_120507"	"486_120515"	"520_120515"	"708_120531"	"663_120530"	"607_120523"	"602_120523"	"384_120503"	"444_120507"	"545_120516"	"369_120502"	"637_120524"	"196_120424"	"952_131107"	"289_120430"	"500_120515"	"706_120605"	"711_120531"	"407_120503"	"508_120515"	"829_130725"	"787_130530"	"298_120430"	"564_120517"	"460_120514"	"626_120524"	"680_120604"	"638_120524"	"605_120523"	"502_120515"	"360_120502"	"369_120502"	"04_120405"	"501_120515"	"253_120426"	"470_120514"	"534_120516"	"352_120501"	"331_120501"	"505_120515"	"551_120517"	"498_120515"	"938_131101"	"456_120507"	"691_120605"	"152_120419"	"647_120529"	"285_120430"	"213_120425"	"950_131107"	"461_120514"	"386_120503"	"812_130702"	"405_120503"	"340_120501"	"274_120430"	"547_120516"	"951_131107"
"P23763"	7261.519264	8529.736199	8735.420909	8808.293354	8591.807312	8744.247435	10636.9019	8878.282795	9147.199176	7885.70965	10491.37802	10146.14829	9661.061635	6245.092145	9817.604097	9230.398135	5822.94275	8832.797652	10078.78608	8877.293904	7836.200908	9828.581418	8980.918409	9949.877659	9278.344452	9950.634472	9319.438756	8843.078759	10319.0057	8612.270234	8347.130141	10601.35854	10146.14829	9549.69672	7628.6623	8835.068543	7896.037304	9678.931676	7864.333958	8133.452538	7100.753815	7619.971369	9025.344078	8641.255516	7457.978927	9356.44984	7340.328002	9751.816644	10524.23202	10940.35893	8145.823054	10790.92721	8457.631714	7549.340044	9325.890282	9381.063947	7329.409464	7847.806988	8533.454877
"Q8WZ19"	NA	NA	186.9167692	NA	168.8758812	NA	NA	NA	NA	NA	NA	122.8234155	173.5759982	NA	NA	198.7798237	NA	NA	NA	NA	NA	175.8771514	154.6244523	151.8891704	NA	148.6105237	NA	170.2216325	NA	155.3466065	NA	166.9253265	122.8234155	NA	164.6946114	154.2650747	171.9484461	NA	181.1028729	143.7818208	NA	NA	NA	NA	NA	NA	NA	NA	NA	182.5885028	NA	NA	167.1593569	NA	NA	152.436915	167.3687103	161.4244768	139.0161692
"O95881"	4755.218174	5264.147499	4983.625701	5171.308462	5156.760472	5092.705609	4573.947182	4608.007554	5461.286021	5182.257014	5218.037712	5576.845643	5470.523425	5029.749689	5443.636998	4818.017884	6046.174359	4805.665909	5153.773142	5486.974716	5145.070911	5400.306857	5197.470446	4734.82623	6080.849504	5170.075315	4880.599436	5182.43284	5467.475489	4765.312861	5172.830247	5227.612131	5576.845643	5523.987889	5175.67509	5072.837455	4865.515651	5010.486712	4708.310049	5443.401112	4899.071005	5088.758155	5222.185102	7066.138143	5391.836816	5287.468685	4342.096986	5238.327498	5018.88014	4974.624525	5423.443381	5267.240508	5129.506619	5287.077972	5224.59203	4648.350894	5375.324704	5096.264408	5298.932057
"O00330"	33174.14615	36185.98097	37078.2809	37769.38811	38048.89098	37209.79794	38596.82199	33087.43819	37593.55746	33177.89961	38679.50436	37661.53888	33499.76594	33828.16947	37965.48381	36142.84035	29029.69527	37350.55137	36759.79896	33249.34463	41482.73667	39400.13538	38240.68116	36288.68762	39739.71863	34957.67829	40164.23784	40017.18604	37304.18436	37258.13673	38316.75058	39479.98829	37661.53888	39712.48335	37583.84551	36318.27741	40087.87026	36200.35493	38074.96362	36626.81253	37028.14624	37961.64315	36066.00116	34065.37858	37208.90337	37790.25632	33011.05125	41116.64547	38627.10595	37312.50871	37507.33171	40401.12773	41200.22662	37994.49665	36999.80311	32863.34258	32357.42457	37270.4611	40177.1735
"Q96GX9"	2389.333339	1738.914033	1488.865513	1344.960579	1487.728187	2148.359835	1420.787117	2915.202158	2533.873362	1849.99632	1631.695305	1600.125929	1653.047423	1118.920255	1136.459342	1438.311139	2746.405207	1894.624209	1512.738603	1991.347786	1469.040112	1342.594352	1548.111056	1586.925409	1450.112555	1496.452793	1270.682682	2042.463155	1406.879613	1529.984199	2651.934926	2100.197938	1600.125929	1521.04722	1698.351573	2343.470312	1300.845344	1556.532716	1399.668261	1660.572462	1315.661637	1527.374969	1614.928801	1487.59922	1778.001561	1345.622402	1552.733918	1308.026864	1071.911871	2080.521375	NA	1535.247003	1438.285665	1432.844384	1315.828663	1440.800096	1328.139326	1222.235198	1766.204382
"O76071"	2560.676913	2110.347168	2564.328282	2222.922836	2258.765159	2551.700965	2468.239156	2293.317325	2374.512778	2190.006149	2338.264171	2423.853882	2213.869355	2355.994404	2314.554871	2089.29555	2601.401859	2216.651578	2119.369753	2366.70892	2252.270565	2253.702598	2304.230455	2290.998721	2116.669186	2145.663534	2220.73005	2260.190444	2142.560623	2279.031542	2330.063283	2161.426943	2423.853882	2799.311071	2295.248643	2217.051031	2295.076024	2298.506871	2297.084216	2131.958385	2150.772153	2144.413707	2178.401625	2139.168621	2221.775148	2247.021164	2116.386085	2291.093369	2259.998702	1961.779596	2271.984539	2215.965372	2073.786956	2314.878791	2312.569935	2346.51906	2204.346786	2261.303864	2283.591653
"Q13423"	137329.6933	152575.414	146731.0704	164478.5479	155413.3409	152407.4172	156504.6046	147248.3995	156690.5505	148853.0779	166523.5675	167346.8442	144874.9929	151354.855	155067.8336	145150.4956	95151.20464	158475.3378	160211.9139	142788.9396	159622.4727	156643.3167	162158.2055	152810.0613	166854.2101	143249.0393	166423.7393	159042.3365	153011.2411	157850.3584	168299.6602	162193.2864	167346.8442	175836.1949	155377.8748	155157.9551	164680.1895	152164.0484	158666.802	159334.464	154611.4418	162872.5673	154707.615	138687.7068	157059.1499	154205.4943	151493.3036	169522.6061	161567.3195	158928.5489	164390.6167	178675.1015	183291.8341	151037.4004	148784.0847	152233.817	142331.8074	157633.4498	160084.105
"O15066"	14244.48054	15315.98753	14417.2187	15248.8333	14773.89655	15022.34957	15331.79974	13654.44253	14922.66956	14813.67377	14559.86263	15245.92673	13678.6129	14410.16991	14201.50527	14419.44368	10958.39832	14625.33754	14492.91291	14481.76475	14918.54262	13752.23672	14112.70695	13462.17139	15183.86043	13704.59226	14659.21192	14349.92617	14038.29422	14608.19228	16173.57934	14363.36088	15245.92673	18201.48961	13757.05525	14283.39629	15107.42977	14714.8878	14981.6295	14590.07323	15308.72463	15628.42698	14857.03843	14815.82399	16347.48344	14634.10546	15039.73068	14714.39495	13542.69719	13547.47052	14421.07005	15421.28314	15272.14382	14469.91663	14322.56727	13840.8761	14200.61598	15384.00279	15195.51369
"O75385"	2857.446667	2966.511755	2823.62792	3040.333751	2844.869606	3359.484879	2713.725541	2637.262688	2961.767739	2843.862717	2921.988257	2988.743582	2716.466534	2690.672593	3088.395684	2900.308548	2684.866969	2808.727438	2838.832935	2971.155362	3082.64295	2906.373773	2897.357765	2803.628375	3133.893079	2791.427947	2937.353449	2819.105576	2911.247866	2940.912883	2968.051651	2838.518276	2988.743582	3423.246374	2925.391511	2764.673783	2976.16146	2797.155368	2747.193238	3005.533199	2957.353506	3278.13167	2895.550149	2911.979801	2997.108983	2938.245733	2922.966978	2908.590009	2785.282543	2893.277107	2955.048407	2884.161314	2885.5913	3003.606528	3032.896647	2570.911382	3084.034977	2914.015244	3174.406539
"P62875"	460.3596046	472.6930826	462.7997052	401.1790947	405.9910531	414.705651	NA	482.6369696	NA	456.191638	469.2257573	NA	458.4724496	455.8497163	424.9176936	509.6271791	799.5403197	438.8209569	409.391041	510.6247724	464.0216644	555.4236528	NA	488.6225963	527.1830773	449.9746724	NA	460.1486953	481.2104275	460.2194243	NA	455.0609521	NA	414.4069424	440.5892232	446.9413363	463.2458931	458.9589601	NA	416.2118331	418.4506524	NA	NA	NA	NA	432.6652906	578.1101016	457.9891435	486.5190322	504.1477674	422.0289591	481.9953657	410.4852681	443.7405351	NA	570.016612	508.0262449	490.3089018	431.4821347
