Var1	Var2	formulas	Var4	ADpresence	c1	c2	c3	NCIpresence	ADperc	NCIperc	presenceRatio
MAR07633		2 ATP[c] + 2 H2O[c] + 3 histamine[c] => 2 ADP[c] + 2 H+[c] + 3 histamine[e] + 2 Pi[c]	156	94	1	1	0.9	62	1	0.885714285714286	1.12903225806452
MAR07634		3 5-hydroxy-L-tryptophan[c] + 2 ATP[c] + 2 H2O[c] => 3 5-hydroxy-L-tryptophan[e] + 2 ADP[c] + 2 H+[c] + 2 Pi[c]	156	94	1	1	0.9	62	1	0.885714285714286	1.12903225806452
MAR07635		3 adrenaline[c] + 2 ATP[c] + 2 H2O[c] => 2 ADP[c] + 3 adrenaline[e] + 2 H+[c] + 2 Pi[c]	156	94	1	1	0.9	62	1	0.885714285714286	1.12903225806452
MAR07636		2 ATP[c] + 3 dopamine[c] + 2 H2O[c] => 2 ADP[c] + 3 dopamine[e] + 2 H+[c] + 2 Pi[c]	156	94	1	1	0.9	62	1	0.885714285714286	1.12903225806452
MAR07637		2 ATP[c] + 2 H2O[c] + 3 noradrenaline[c] => 2 ADP[c] + 2 H+[c] + 3 noradrenaline[e] + 2 Pi[c]	156	94	1	1	0.9	62	1	0.885714285714286	1.12903225806452
MAR00052	5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven)	5-hydroxy-L-tryptophan[c] + ATP[c] + H2O[c] => 5-hydroxy-L-tryptophan[e] + ADP[c] + H+[c] + Pi[c]	156	94	1	1	0.9	62	1	0.885714285714286	1.12903225806452
MAR00065	Adrenaline Secretion via Secretory Vesicle (ATP Driven)	adrenaline[c] + ATP[c] + H2O[c] => ADP[c] + adrenaline[e] + H+[c] + Pi[c]	156	94	1	1	0.9	62	1	0.885714285714286	1.12903225806452
MAR00334	Secretion of Dopamine via Secretory Vesicle (ATP Driven)	ATP[c] + dopamine[c] + H2O[c] => ADP[c] + dopamine[e] + H+[c] + Pi[c]	156	94	1	1	0.9	62	1	0.885714285714286	1.12903225806452
MAR01442	Histamine Secretion via Secretory Vesicle (ATP Driven)	ATP[c] + H2O[c] + histamine[c] => ADP[c] + H+[c] + histamine[e] + Pi[c]	156	94	1	1	0.9	62	1	0.885714285714286	1.12903225806452
MAR01555	Secretion of Noradrenaline  via Secretory Vesicle (ATP Driven)	ATP[c] + H2O[c] + noradrenaline[c] => ADP[c] + H+[c] + noradrenaline[e] + Pi[c]	156	94	1	1	0.9	62	1	0.885714285714286	1.12903225806452
